(36, 21, 26) -0.1 (35, 21, 27) prev_q:-100.93, next_step_max_q:-101.06, new_p:-101.05
(35, 21, 27) -0.1 (35, 21, 28) prev_q:-101.16, next_step_max_q:-101.15, new_p:-101.21
(35, 21, 28) -0.1 (35, 21, 27) prev_q:-101.15, next_step_max_q:-101.06, new_p:-101.16
(35, 21, 27) -0.1 (36, 20, 27) prev_q:-101.06, next_step_max_q:-100.92, new_p:-101.04
(36, 20, 27) -0.1 (36, 20, 26) prev_q:-100.92, next_step_max_q:-100.84, new_p:-100.93
(36, 20, 26) -0.1 (36, 20, 25) prev_q:-100.94, next_step_max_q:-100.76, new_p:-100.90
(36, 20, 25) -0.1 (35, 20, 25) prev_q:-100.76, next_step_max_q:-100.91, new_p:-100.88
(35, 20, 25) -0.1 (35, 20, 24) prev_q:-101.01, next_step_max_q:-100.82, new_p:-100.97
(35, 20, 24) -0.1 (35, 20, 25) prev_q:-100.82, next_step_max_q:-100.91, new_p:-100.92
(35, 20, 25) -0.1 (35, 20, 25) prev_q:-100.91, next_step_max_q:-100.91, new_p:-100.96
(35, 20, 25) -0.1 (35, 19, 25) prev_q:-100.96, next_step_max_q:-100.93, new_p:-101.00
(35, 19, 25) -0.1 (35, 19, 25) prev_q:-100.93, next_step_max_q:-100.93, new_p:-100.98
(35, 19, 25) -0.1 (35, 18, 25) prev_q:-100.98, next_step_max_q:-101.01, new_p:-101.05
(35, 18, 25) -0.1 (35, 18, 25) prev_q:-101.01, next_step_max_q:-101.01, new_p:-101.06
(35, 18, 25) -0.1 (35, 18, 25) prev_q:-101.06, next_step_max_q:-101.06, new_p:-101.11
(35, 18, 25) -0.1 (35, 18, 25) prev_q:-101.11, next_step_max_q:-101.11, new_p:-101.16
(35, 18, 25) -0.1 (35, 17, 25) prev_q:-101.16, next_step_max_q:-101.05, new_p:-101.16
(35, 17, 25) -0.1 (34, 17, 25) prev_q:-101.05, next_step_max_q:-101.38, new_p:-101.27
(34, 17, 25) -0.1 (34, 17, 25) prev_q:-101.38, next_step_max_q:-101.38, new_p:-101.43
(34, 17, 25) -0.1 (34, 17, 26) prev_q:-101.48, next_step_max_q:-101.47, new_p:-101.52
(34, 17, 26) -0.1 (34, 15, 26) prev_q:-101.47, next_step_max_q:-101.49, new_p:-101.53
