,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.10666666666666667,0.0,27.14047619047619,7.359468190409231,3.4238095238095236,3.3091330964943384,0,16,0.6704761904761904,0,3
1,myopic,0.4583333333333333,0.0,28.345238095238095,5.900343671846916,10.0,0.0,10,10,2.0,2,2
2,egostistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.25023809523809526,0.0,26.766666666666666,7.396858412320945,3.64,3.510539497784832,0,15,0.7733333333333333,0,3
