,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
72,param_1_high_perf,"[1.0, 0.5]","[0, -1]",0,2,-4
73,param_1_high_perf,"[1.0, 0.75]","[0, -1]",0,2,-4
74,param_1_high_perf,"[1.0, 1.0]","[0, -1]",0,2,-4
75,param_1_high_perf,"[0.0, 0.0]","[0, 0]",0,-11,-12
76,param_1_high_perf,"[0.25, 0.0]","[0, 0]",0,-6,-8
77,param_1_high_perf,"[0.0, 0.25]","[0, 0]",0,-6,-8
78,param_1_high_perf,"[0.25, 0.25]","[0, 0]",0,-2,-3
79,param_1_high_perf,"[0.5, 0.0]","[0, 0]",0,-2,-11
80,param_1_high_perf,"[0.5, 0.25]","[0, 0]",0,-2,-8
81,param_1_high_perf,"[0.75, 0.0]","[0, 0]",0,-2,-11
82,param_1_high_perf,"[0.75, 0.25]","[0, 0]",0,-2,-8
83,param_1_high_perf,"[1.0, 0.0]","[0, 0]",0,-2,-11
84,param_1_high_perf,"[1.0, 0.25]","[0, 0]",0,-2,-8
85,param_1_high_perf,"[0.0, 0.5]","[0, 0]",0,-4,-8
86,param_1_high_perf,"[0.0, 0.75]","[0, 0]",0,-4,-8
87,param_1_high_perf,"[0.0, 1.0]","[0, 0]",0,-4,-8
88,param_1_high_perf,"[0.25, 0.5]","[0, 0]",0,-2,-3
89,param_1_high_perf,"[0.25, 0.75]","[0, 0]",0,-2,-3
90,param_1_high_perf,"[0.25, 1.0]","[0, 0]",0,-2,-3
91,param_1_high_perf,"[0.5, 0.5]","[0, 0]",0,-2,-8
92,param_1_high_perf,"[0.5, 0.75]","[0, 0]",0,-2,-8
93,param_1_high_perf,"[0.5, 1.0]","[0, 0]",0,-2,-8
94,param_1_high_perf,"[0.75, 0.5]","[0, 0]",0,-2,-8
95,param_1_high_perf,"[0.75, 0.75]","[0, 0]",0,-2,-8
96,param_1_high_perf,"[0.75, 1.0]","[0, 0]",0,-2,-8
97,param_1_high_perf,"[1.0, 0.5]","[0, 0]",0,-2,-8
98,param_1_high_perf,"[1.0, 0.75]","[0, 0]",0,-2,-8
99,param_1_high_perf,"[1.0, 1.0]","[0, 0]",0,-2,-8
100,param_2_high_perf,"[0.0, 0.0]","[-1, -1]",0,-16,-12
101,param_2_high_perf,"[0.25, 0.0]","[-1, -1]",0,-8,-8
102,param_2_high_perf,"[0.0, 0.25]","[-1, -1]",0,-8,-8
103,param_2_high_perf,"[0.25, 0.25]","[-1, -1]",0,0,0
104,param_2_high_perf,"[0.5, 0.0]","[-1, -1]",0,-8,-12
105,param_2_high_perf,"[0.5, 0.25]","[-1, -1]",0,0,-4
106,param_2_high_perf,"[0.75, 0.0]","[-1, -1]",0,-8,-12
107,param_2_high_perf,"[0.75, 0.25]","[-1, -1]",0,0,-4
108,param_2_high_perf,"[1.0, 0.0]","[-1, -1]",0,-8,-12
109,param_2_high_perf,"[1.0, 0.25]","[-1, -1]",0,0,-4
110,param_2_high_perf,"[0.0, 0.5]","[-1, -1]",0,-5,-8
111,param_2_high_perf,"[0.0, 0.75]","[-1, -1]",0,-5,-8
112,param_2_high_perf,"[0.0, 1.0]","[-1, -1]",0,-5,-8
113,param_2_high_perf,"[0.25, 0.5]","[-1, -1]",0,0,0
114,param_2_high_perf,"[0.25, 0.75]","[-1, -1]",0,0,0
115,param_2_high_perf,"[0.25, 1.0]","[-1, -1]",0,0,0
116,param_2_high_perf,"[0.5, 0.5]","[-1, -1]",0,0,-4
117,param_2_high_perf,"[0.5, 0.75]","[-1, -1]",0,0,-4
118,param_2_high_perf,"[0.5, 1.0]","[-1, -1]",0,0,-4
119,param_2_high_perf,"[0.75, 0.5]","[-1, -1]",0,0,-4
120,param_2_high_perf,"[0.75, 0.75]","[-1, -1]",0,0,-4
121,param_2_high_perf,"[0.75, 1.0]","[-1, -1]",0,0,-4
122,param_2_high_perf,"[1.0, 0.5]","[-1, -1]",0,0,-4
123,param_2_high_perf,"[1.0, 0.75]","[-1, -1]",0,0,-4
124,param_2_high_perf,"[1.0, 1.0]","[-1, -1]",0,0,-4
125,param_2_high_perf,"[0.0, 0.0]","[-1, 0]",0,-12,-12
126,param_2_high_perf,"[0.25, 0.0]","[-1, 0]",0,-4,-8
127,param_2_high_perf,"[0.0, 0.25]","[-1, 0]",0,-7,-8
128,param_2_high_perf,"[0.25, 0.25]","[-1, 0]",0,-4,-4
