,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.05142857142857143,0.0,26.552380952380954,7.217879119777955,2.664761904761905,2.02273787222643,0,6,0.92,0,2
1,myopic,0.0,0.0,28.345238095238095,5.900343671846916,10.0,0.0,10,10,2.0,2,2
2,egostistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.09428571428571429,0.0,26.831904761904763,7.337947937520087,3.2942857142857145,2.9452792007794093,0,10,0.7076190476190476,0,3
