,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
78,param_1_low,"[0.25, 0.25]","[0, 0]",1,-10,-10
79,param_1_low,"[0.5, 0.0]","[0, 0]",-1,-2,-10
80,param_1_low,"[0.5, 0.25]","[0, 0]",-1,6,-6
81,param_1_low,"[0.75, 0.0]","[0, 0]",-1,-2,-10
82,param_1_low,"[0.75, 0.25]","[0, 0]",-1,6,-6
83,param_1_low,"[1.0, 0.0]","[0, 0]",-1,-2,-10
84,param_1_low,"[1.0, 0.25]","[0, 0]",-1,6,-6
85,param_1_low,"[0.0, 0.5]","[0, 0]",-1,3,-9
86,param_1_low,"[0.0, 0.75]","[0, 0]",-1,3,-9
87,param_1_low,"[0.0, 1.0]","[0, 0]",-1,1,-10
88,param_1_low,"[0.25, 0.5]","[0, 0]",0,1,-10
89,param_1_low,"[0.25, 0.75]","[0, 0]",0,1,-10
90,param_1_low,"[0.25, 1.0]","[0, 0]",0,1,-10
91,param_1_low,"[0.5, 0.5]","[0, 0]",-1,6,-10
92,param_1_low,"[0.5, 0.75]","[0, 0]",-1,6,-10
93,param_1_low,"[0.5, 1.0]","[0, 0]",-1,6,-10
94,param_1_low,"[0.75, 0.5]","[0, 0]",-1,6,-10
95,param_1_low,"[0.75, 0.75]","[0, 0]",-1,6,-10
96,param_1_low,"[0.75, 1.0]","[0, 0]",-1,6,-10
97,param_1_low,"[1.0, 0.5]","[0, 0]",-1,6,-10
98,param_1_low,"[1.0, 0.75]","[0, 0]",-1,6,-10
99,param_1_low,"[1.0, 1.0]","[0, 0]",-1,6,-10
100,param_2_low,"[0.0, 0.0]","[-1, -1]",0,-18,-10
101,param_2_low,"[0.25, 0.0]","[-1, -1]",1,-18,-10
102,param_2_low,"[0.0, 0.25]","[-1, -1]",1,-17,-9
103,param_2_low,"[0.25, 0.25]","[-1, -1]",2,-18,-10
104,param_2_low,"[0.5, 0.0]","[-1, -1]",0,-10,-10
105,param_2_low,"[0.5, 0.25]","[-1, -1]",0,0,-4
106,param_2_low,"[0.75, 0.0]","[-1, -1]",0,-10,-10
107,param_2_low,"[0.75, 0.25]","[-1, -1]",0,0,-4
108,param_2_low,"[1.0, 0.0]","[-1, -1]",0,-10,-10
109,param_2_low,"[1.0, 0.25]","[-1, -1]",0,0,-4
110,param_2_low,"[0.0, 0.5]","[-1, -1]",0,-2,-7
111,param_2_low,"[0.0, 0.75]","[-1, -1]",0,-6,-10
112,param_2_low,"[0.0, 1.0]","[-1, -1]",0,-6,-10
113,param_2_low,"[0.25, 0.5]","[-1, -1]",1,-6,-10
114,param_2_low,"[0.25, 0.75]","[-1, -1]",1,-6,-10
115,param_2_low,"[0.25, 1.0]","[-1, -1]",1,-6,-10
116,param_2_low,"[0.5, 0.5]","[-1, -1]",0,0,-4
117,param_2_low,"[0.5, 0.75]","[-1, -1]",0,0,-4
118,param_2_low,"[0.5, 1.0]","[-1, -1]",0,0,-10
119,param_2_low,"[0.75, 0.5]","[-1, -1]",0,0,-4
120,param_2_low,"[0.75, 0.75]","[-1, -1]",0,0,-4
121,param_2_low,"[0.75, 1.0]","[-1, -1]",0,0,-10
122,param_2_low,"[1.0, 0.5]","[-1, -1]",0,0,-4
123,param_2_low,"[1.0, 0.75]","[-1, -1]",0,0,-4
124,param_2_low,"[1.0, 1.0]","[-1, -1]",0,0,-10
125,param_2_low,"[0.0, 0.0]","[-1, 0]",-1,-11,-10
126,param_2_low,"[0.25, 0.0]","[-1, 0]",0,-11,-10
127,param_2_low,"[0.0, 0.25]","[-1, 0]",0,-10,-9
128,param_2_low,"[0.25, 0.25]","[-1, 0]",1,-11,-10
129,param_2_low,"[0.5, 0.0]","[-1, 0]",-1,-3,-10
130,param_2_low,"[0.5, 0.25]","[-1, 0]",-1,-3,-4
131,param_2_low,"[0.75, 0.0]","[-1, 0]",-1,-3,-10
132,param_2_low,"[0.75, 0.25]","[-1, 0]",-1,-3,-4
133,param_2_low,"[1.0, 0.0]","[-1, 0]",-1,-3,-10
134,param_2_low,"[1.0, 0.25]","[-1, 0]",-1,-3,-4
135,param_2_low,"[0.0, 0.5]","[-1, 0]",-1,5,-7
136,param_2_low,"[0.0, 0.75]","[-1, 0]",-1,1,-10
137,param_2_low,"[0.0, 1.0]","[-1, 0]",-1,1,-10
138,param_2_low,"[0.25, 0.5]","[-1, 0]",0,1,-10
139,param_2_low,"[0.25, 0.75]","[-1, 0]",0,1,-10
140,param_2_low,"[0.25, 1.0]","[-1, 0]",0,1,-10
141,param_2_low,"[0.5, 0.5]","[-1, 0]",-1,-3,-4
142,param_2_low,"[0.5, 0.75]","[-1, 0]",-1,-3,-4
143,param_2_low,"[0.5, 1.0]","[-1, 0]",-1,7,-10
144,param_2_low,"[0.75, 0.5]","[-1, 0]",-1,-3,-4
145,param_2_low,"[0.75, 0.75]","[-1, 0]",-1,-3,-4
146,param_2_low,"[0.75, 1.0]","[-1, 0]",-1,7,-10
147,param_2_low,"[1.0, 0.5]","[-1, 0]",-1,-3,-4
148,param_2_low,"[1.0, 0.75]","[-1, 0]",-1,-3,-4
149,param_2_low,"[1.0, 1.0]","[-1, 0]",-1,7,-10
150,param_2_low,"[0.0, 0.0]","[0, -1]",-1,-17,-10
151,param_2_low,"[0.25, 0.0]","[0, -1]",0,-17,-10
152,param_2_low,"[0.0, 0.25]","[0, -1]",0,-16,-9
153,param_2_low,"[0.25, 0.25]","[0, -1]",1,-17,-10
154,param_2_low,"[0.5, 0.0]","[0, -1]",-1,-9,-10
155,param_2_low,"[0.5, 0.25]","[0, -1]",-1,1,-4
156,param_2_low,"[0.75, 0.0]","[0, -1]",-1,-9,-10
157,param_2_low,"[0.75, 0.25]","[0, -1]",-1,1,-4
158,param_2_low,"[1.0, 0.0]","[0, -1]",-1,-9,-10
159,param_2_low,"[1.0, 0.25]","[0, -1]",-1,1,-4
160,param_2_low,"[0.0, 0.5]","[0, -1]",-1,-1,-7
161,param_2_low,"[0.0, 0.75]","[0, -1]",-1,-5,-10
162,param_2_low,"[0.0, 1.0]","[0, -1]",-1,-5,-10
163,param_2_low,"[0.25, 0.5]","[0, -1]",0,-5,-10
164,param_2_low,"[0.25, 0.75]","[0, -1]",0,-5,-10
165,param_2_low,"[0.25, 1.0]","[0, -1]",0,-5,-10
166,param_2_low,"[0.5, 0.5]","[0, -1]",-1,1,-4
167,param_2_low,"[0.5, 0.75]","[0, -1]",-1,1,-4
168,param_2_low,"[0.5, 1.0]","[0, -1]",-1,1,-10
169,param_2_low,"[0.75, 0.5]","[0, -1]",-1,1,-4
170,param_2_low,"[0.75, 0.75]","[0, -1]",-1,1,-4
171,param_2_low,"[0.75, 1.0]","[0, -1]",-1,1,-10
172,param_2_low,"[1.0, 0.5]","[0, -1]",-1,1,-4
173,param_2_low,"[1.0, 0.75]","[0, -1]",-1,1,-4
174,param_2_low,"[1.0, 1.0]","[0, -1]",-1,1,-10
175,param_2_low,"[0.0, 0.0]","[0, 0]",-2,-10,-10
176,param_2_low,"[0.25, 0.0]","[0, 0]",-1,-10,-10
177,param_2_low,"[0.0, 0.25]","[0, 0]",-1,-9,-9
178,param_2_low,"[0.25, 0.25]","[0, 0]",0,-10,-10
179,param_2_low,"[0.5, 0.0]","[0, 0]",-2,-2,-10
180,param_2_low,"[0.5, 0.25]","[0, 0]",-2,-2,-4
181,param_2_low,"[0.75, 0.0]","[0, 0]",-2,-2,-10
182,param_2_low,"[0.75, 0.25]","[0, 0]",-2,-2,-4
183,param_2_low,"[1.0, 0.0]","[0, 0]",-2,-2,-10
184,param_2_low,"[1.0, 0.25]","[0, 0]",-2,-2,-4
185,param_2_low,"[0.0, 0.5]","[0, 0]",-2,6,-7
186,param_2_low,"[0.0, 0.75]","[0, 0]",-2,2,-10
187,param_2_low,"[0.0, 1.0]","[0, 0]",-2,2,-10
188,param_2_low,"[0.25, 0.5]","[0, 0]",-1,2,-10
189,param_2_low,"[0.25, 0.75]","[0, 0]",-1,2,-10
190,param_2_low,"[0.25, 1.0]","[0, 0]",-1,2,-10
191,param_2_low,"[0.5, 0.5]","[0, 0]",-2,-2,-4
192,param_2_low,"[0.5, 0.75]","[0, 0]",-2,-2,-4
193,param_2_low,"[0.5, 1.0]","[0, 0]",-2,8,-10
194,param_2_low,"[0.75, 0.5]","[0, 0]",-2,-2,-4
195,param_2_low,"[0.75, 0.75]","[0, 0]",-2,-2,-4
196,param_2_low,"[0.75, 1.0]","[0, 0]",-2,8,-10
197,param_2_low,"[1.0, 0.5]","[0, 0]",-2,-2,-4
198,param_2_low,"[1.0, 0.75]","[0, 0]",-2,-2,-4
199,param_2_low,"[1.0, 1.0]","[0, 0]",-2,8,-10
200,param_3_low,"[0.0, 0.0]","[-1, -1]",0,-21,-10
201,param_3_low,"[0.25, 0.0]","[-1, -1]",1,-21,-10
202,param_3_low,"[0.0, 0.25]","[-1, -1]",1,-21,-10
203,param_3_low,"[0.25, 0.25]","[-1, -1]",2,-21,-10
204,param_3_low,"[0.5, 0.0]","[-1, -1]",0,-13,-10
205,param_3_low,"[0.5, 0.25]","[-1, -1]",0,0,-4
206,param_3_low,"[0.75, 0.0]","[-1, -1]",0,-13,-10
207,param_3_low,"[0.75, 0.25]","[-1, -1]",0,0,-4
208,param_3_low,"[1.0, 0.0]","[-1, -1]",0,-13,-10
209,param_3_low,"[1.0, 0.25]","[-1, -1]",0,0,-4
210,param_3_low,"[0.0, 0.5]","[-1, -1]",0,-9,-4
211,param_3_low,"[0.0, 0.75]","[-1, -1]",0,-9,-4
212,param_3_low,"[0.0, 1.0]","[-1, -1]",0,-9,-10
213,param_3_low,"[0.25, 0.5]","[-1, -1]",1,-9,-4
214,param_3_low,"[0.25, 0.75]","[-1, -1]",1,-9,-4
215,param_3_low,"[0.25, 1.0]","[-1, -1]",1,-9,-10
216,param_3_low,"[0.5, 0.5]","[-1, -1]",0,0,-4
217,param_3_low,"[0.5, 0.75]","[-1, -1]",0,0,-4
