,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
57,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, -1]",pomdp,0,15,0
58,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, -1]",myopic,1,33,12
59,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, -1]",egostistical,0,15,0
60,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, -1]",pomdp,0,15,0
61,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, -1]",myopic,1,33,12
62,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, -1]",egostistical,0,15,0
63,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, -1]",pomdp,0,15,0
64,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, -1]",myopic,1,29,12
65,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, -1]",egostistical,0,15,0
66,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, -1]",pomdp,0,15,0
67,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, -1]",myopic,1,29,12
68,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, -1]",egostistical,0,15,0
69,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, -1]",pomdp,0,15,0
70,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, -1]",myopic,1,32,12
71,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, -1]",egostistical,0,15,0
72,param_1_low_perf,"[0.0, 0.0]",[20 40],"[0, 0]",pomdp,0,15,0
73,param_1_low_perf,"[0.0, 0.0]",[20 40],"[0, 0]",myopic,2,26,12
74,param_1_low_perf,"[0.0, 0.0]",[20 40],"[0, 0]",egostistical,0,15,0
75,param_2_low_perf,"[0.0, 0.0]",[20 60],"[0, 0]",pomdp,0,15,0
76,param_2_low_perf,"[0.0, 0.0]",[20 60],"[0, 0]",myopic,2,27,12
77,param_2_low_perf,"[0.0, 0.0]",[20 60],"[0, 0]",egostistical,0,15,0
78,param_3_low_perf,"[0.0, 0.0]",[20 80],"[0, 0]",pomdp,0,15,0
79,param_3_low_perf,"[0.0, 0.0]",[20 80],"[0, 0]",myopic,2,25,12
80,param_3_low_perf,"[0.0, 0.0]",[20 80],"[0, 0]",egostistical,0,15,0
81,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, 0]",pomdp,0,15,0
82,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, 0]",myopic,2,25,12
83,param_4_low_perf,"[0.0, 0.0]",[ 20 100],"[0, 0]",egostistical,0,15,0
84,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, 0]",pomdp,0,15,0
85,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, 0]",myopic,2,24,12
86,param_5_low_perf,"[0.0, 0.0]",[ 20 120],"[0, 0]",egostistical,0,15,0
87,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, 0]",pomdp,0,15,0
88,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, 0]",myopic,2,26,12
89,param_6_low_perf,"[0.0, 0.0]",[40 60],"[0, 0]",egostistical,0,15,0
90,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, 0]",pomdp,0,15,0
91,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, 0]",myopic,2,25,12
92,param_7_low_perf,"[0.0, 0.0]",[40 80],"[0, 0]",egostistical,0,15,0
93,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, 0]",pomdp,0,15,0
94,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, 0]",myopic,2,24,12
95,param_8_low_perf,"[0.0, 0.0]",[ 40 100],"[0, 0]",egostistical,0,15,0
96,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, -1]",pomdp,1,19,3
97,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, -1]",myopic,0,31,12
98,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, -1]",egostistical,1,15,0
99,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, -1]",pomdp,0,23,6
100,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, -1]",myopic,0,31,12
101,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, -1]",egostistical,1,15,0
102,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, -1]",pomdp,0,23,6
103,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, -1]",myopic,0,33,12
104,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, -1]",egostistical,1,15,0
105,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, -1]",pomdp,0,23,6
106,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, -1]",myopic,0,32,12
107,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, -1]",egostistical,1,15,0
108,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, -1]",pomdp,0,23,6
109,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, -1]",myopic,0,32,12
110,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, -1]",egostistical,1,15,0
111,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, -1]",pomdp,0,27,8
112,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, -1]",myopic,0,34,12
113,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, -1]",egostistical,1,15,0
114,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, -1]",pomdp,0,26,7
115,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, -1]",myopic,0,34,12
116,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, -1]",egostistical,1,15,0
117,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, -1]",pomdp,0,23,6
118,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, -1]",myopic,0,36,12
119,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, -1]",egostistical,1,15,0
120,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, 0]",pomdp,1,19,3
121,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, 0]",myopic,1,27,12
