,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
95,param_1,"[0.75, 0.75]","[0, 0]",0,-1,-6
96,param_1,"[0.75, 1.0]","[0, 0]",0,-1,-6
97,param_1,"[1.0, 0.5]","[0, 0]",0,-1,-6
98,param_1,"[1.0, 0.75]","[0, 0]",0,-1,-6
99,param_1,"[1.0, 1.0]","[0, 0]",0,-1,-6
100,param_2,"[0.0, 0.0]","[-1, -1]",0,-16,-12
101,param_2,"[0.25, 0.0]","[-1, -1]",0,-8,-7
102,param_2,"[0.0, 0.25]","[-1, -1]",0,-7,-6
103,param_2,"[0.25, 0.25]","[-1, -1]",0,0,-1
104,param_2,"[0.5, 0.0]","[-1, -1]",0,-8,-12
105,param_2,"[0.5, 0.25]","[-1, -1]",0,0,-6
106,param_2,"[0.75, 0.0]","[-1, -1]",0,-8,-12
107,param_2,"[0.75, 0.25]","[-1, -1]",0,0,-6
108,param_2,"[1.0, 0.0]","[-1, -1]",0,-8,-12
109,param_2,"[1.0, 0.25]","[-1, -1]",0,0,-6
110,param_2,"[0.0, 0.5]","[-1, -1]",0,-5,-6
111,param_2,"[0.0, 0.75]","[-1, -1]",0,-5,-6
112,param_2,"[0.0, 1.0]","[-1, -1]",0,-5,-6
113,param_2,"[0.25, 0.5]","[-1, -1]",0,0,0
114,param_2,"[0.25, 0.75]","[-1, -1]",0,0,0
115,param_2,"[0.25, 1.0]","[-1, -1]",0,0,0
116,param_2,"[0.5, 0.5]","[-1, -1]",0,0,-6
117,param_2,"[0.5, 0.75]","[-1, -1]",0,0,-6
118,param_2,"[0.5, 1.0]","[-1, -1]",0,0,-6
119,param_2,"[0.75, 0.5]","[-1, -1]",0,0,-6
120,param_2,"[0.75, 0.75]","[-1, -1]",0,0,-6
121,param_2,"[0.75, 1.0]","[-1, -1]",0,0,-6
122,param_2,"[1.0, 0.5]","[-1, -1]",0,0,-6
123,param_2,"[1.0, 0.75]","[-1, -1]",0,0,-6
124,param_2,"[1.0, 1.0]","[-1, -1]",0,0,-6
125,param_2,"[0.0, 0.0]","[-1, 0]",0,-12,-12
126,param_2,"[0.25, 0.0]","[-1, 0]",0,-4,-7
127,param_2,"[0.0, 0.25]","[-1, 0]",0,-6,-6
128,param_2,"[0.25, 0.25]","[-1, 0]",0,-4,-1
129,param_2,"[0.5, 0.0]","[-1, 0]",0,-4,-12
130,param_2,"[0.5, 0.25]","[-1, 0]",0,-4,-6
131,param_2,"[0.75, 0.0]","[-1, 0]",0,-4,-12
132,param_2,"[0.75, 0.25]","[-1, 0]",0,-4,-6
133,param_2,"[1.0, 0.0]","[-1, 0]",0,-4,-12
134,param_2,"[1.0, 0.25]","[-1, 0]",0,-4,-6
135,param_2,"[0.0, 0.5]","[-1, 0]",0,-4,-6
136,param_2,"[0.0, 0.75]","[-1, 0]",0,-4,-6
137,param_2,"[0.0, 1.0]","[-1, 0]",0,-4,-6
138,param_2,"[0.25, 0.5]","[-1, 0]",0,-3,0
139,param_2,"[0.25, 0.75]","[-1, 0]",0,-3,0
140,param_2,"[0.25, 1.0]","[-1, 0]",0,-3,0
141,param_2,"[0.5, 0.5]","[-1, 0]",0,-4,-6
142,param_2,"[0.5, 0.75]","[-1, 0]",0,-4,-6
143,param_2,"[0.5, 1.0]","[-1, 0]",0,-4,-6
144,param_2,"[0.75, 0.5]","[-1, 0]",0,-4,-6
145,param_2,"[0.75, 0.75]","[-1, 0]",0,-4,-6
146,param_2,"[0.75, 1.0]","[-1, 0]",0,-4,-6
147,param_2,"[1.0, 0.5]","[-1, 0]",0,-4,-6
148,param_2,"[1.0, 0.75]","[-1, 0]",0,-4,-6
149,param_2,"[1.0, 1.0]","[-1, 0]",0,-4,-6
150,param_2,"[0.0, 0.0]","[0, -1]",0,-16,-12
151,param_2,"[0.25, 0.0]","[0, -1]",0,-10,-7
152,param_2,"[0.0, 0.25]","[0, -1]",0,-7,-6
153,param_2,"[0.25, 0.25]","[0, -1]",0,0,-2
154,param_2,"[0.5, 0.0]","[0, -1]",0,-8,-12
155,param_2,"[0.5, 0.25]","[0, -1]",0,0,-6
156,param_2,"[0.75, 0.0]","[0, -1]",0,-8,-12
157,param_2,"[0.75, 0.25]","[0, -1]",0,0,-6
158,param_2,"[1.0, 0.0]","[0, -1]",0,-8,-12
159,param_2,"[1.0, 0.25]","[0, -1]",0,0,-6
160,param_2,"[0.0, 0.5]","[0, -1]",0,-5,-6
161,param_2,"[0.0, 0.75]","[0, -1]",0,-5,-6
162,param_2,"[0.0, 1.0]","[0, -1]",0,-5,-6
163,param_2,"[0.25, 0.5]","[0, -1]",0,0,0
164,param_2,"[0.25, 0.75]","[0, -1]",0,0,0
165,param_2,"[0.25, 1.0]","[0, -1]",0,0,0
166,param_2,"[0.5, 0.5]","[0, -1]",0,0,-6
167,param_2,"[0.5, 0.75]","[0, -1]",0,0,-6
168,param_2,"[0.5, 1.0]","[0, -1]",0,0,-6
169,param_2,"[0.75, 0.5]","[0, -1]",0,0,-6
170,param_2,"[0.75, 0.75]","[0, -1]",0,0,-6
171,param_2,"[0.75, 1.0]","[0, -1]",0,0,-6
172,param_2,"[1.0, 0.5]","[0, -1]",0,0,-6
173,param_2,"[1.0, 0.75]","[0, -1]",0,0,-6
174,param_2,"[1.0, 1.0]","[0, -1]",0,0,-6
175,param_2,"[0.0, 0.0]","[0, 0]",0,-12,-12
176,param_2,"[0.25, 0.0]","[0, 0]",0,-6,-7
177,param_2,"[0.0, 0.25]","[0, 0]",0,-6,-6
178,param_2,"[0.25, 0.25]","[0, 0]",0,-5,-2
179,param_2,"[0.5, 0.0]","[0, 0]",0,-4,-12
180,param_2,"[0.5, 0.25]","[0, 0]",0,-4,-6
181,param_2,"[0.75, 0.0]","[0, 0]",0,-4,-12
