,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.2776190476190476,0.0,0.26857142857142857,0.45380952380952383
2,myopic-pomdp,0.46095238095238095,0.0,0.539047619047619,0.0,0.0
