,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.08047619047619048,0.0,26.018571428571427,7.413283845704428,2.6152380952380954,1.8762465928689136,0,7,0.8961904761904762,0,3
1,myopic,0.0,0.0,27.738095238095237,6.200783441140486,10.0,0.0,10,10,2.0,2,2
2,egoistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.10666666666666667,0.0,26.544761904761906,7.542820191205145,3.117142857142857,2.733274126355794,0,10,0.6409523809523809,0,2
