,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.11666666666666667,0.0,26.80761904761905,7.544382830245212,3.322857142857143,3.0231048388488295,0,12,0.5857142857142857,0,2
1,myopic,0.4583333333333333,0.0,27.738095238095237,6.200783441140486,10.0,0.0,10,10,2.0,2,2
2,egoistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.24452380952380953,0.0,26.688095238095237,7.6169835555452385,3.7576190476190474,3.6837609010366994,0,18,0.7938095238095239,0,4
