,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
71,param_1_low_perf,"[0.75, 1.0]","[0, -1]",-1,2,-12
72,param_1_low_perf,"[1.0, 0.5]","[0, -1]",-1,2,-5
73,param_1_low_perf,"[1.0, 0.75]","[0, -1]",-1,2,-5
74,param_1_low_perf,"[1.0, 1.0]","[0, -1]",-1,2,-12
75,param_1_low_perf,"[0.0, 0.0]","[0, 0]",-2,-11,-12
76,param_1_low_perf,"[0.25, 0.0]","[0, 0]",-1,-7,-9
77,param_1_low_perf,"[0.0, 0.25]","[0, 0]",-2,-4,-5
78,param_1_low_perf,"[0.25, 0.25]","[0, 0]",0,-1,-3
79,param_1_low_perf,"[0.5, 0.0]","[0, 0]",-2,-2,-11
80,param_1_low_perf,"[0.5, 0.25]","[0, 0]",-1,2,-7
81,param_1_low_perf,"[0.75, 0.0]","[0, 0]",-2,-2,-11
82,param_1_low_perf,"[0.75, 0.25]","[0, 0]",-1,2,-7
83,param_1_low_perf,"[1.0, 0.0]","[0, 0]",-2,-2,-11
84,param_1_low_perf,"[1.0, 0.25]","[0, 0]",-1,2,-7
85,param_1_low_perf,"[0.0, 0.5]","[0, 0]",-2,0,-12
86,param_1_low_perf,"[0.0, 0.75]","[0, 0]",-2,0,-12
87,param_1_low_perf,"[0.0, 1.0]","[0, 0]",-2,0,-12
88,param_1_low_perf,"[0.25, 0.5]","[0, 0]",-1,0,-10
89,param_1_low_perf,"[0.25, 0.75]","[0, 0]",-1,0,-10
90,param_1_low_perf,"[0.25, 1.0]","[0, 0]",-1,0,-10
91,param_1_low_perf,"[0.5, 0.5]","[0, 0]",-2,1,-5
92,param_1_low_perf,"[0.5, 0.75]","[0, 0]",-2,1,-5
93,param_1_low_perf,"[0.5, 1.0]","[0, 0]",-2,5,-12
94,param_1_low_perf,"[0.75, 0.5]","[0, 0]",-2,1,-5
95,param_1_low_perf,"[0.75, 0.75]","[0, 0]",-2,1,-5
96,param_1_low_perf,"[0.75, 1.0]","[0, 0]",-2,5,-12
97,param_1_low_perf,"[1.0, 0.5]","[0, 0]",-2,1,-5
98,param_1_low_perf,"[1.0, 0.75]","[0, 0]",-2,1,-5
99,param_1_low_perf,"[1.0, 1.0]","[0, 0]",-2,5,-12
100,param_2_low_perf,"[0.0, 0.0]","[-1, -1]",0,-16,-12
101,param_2_low_perf,"[0.25, 0.0]","[-1, -1]",0,-8,-6
102,param_2_low_perf,"[0.0, 0.25]","[-1, -1]",1,-15,-11
103,param_2_low_perf,"[0.25, 0.25]","[-1, -1]",1,-3,-2
104,param_2_low_perf,"[0.5, 0.0]","[-1, -1]",0,-8,-12
105,param_2_low_perf,"[0.5, 0.25]","[-1, -1]",1,-3,-8
106,param_2_low_perf,"[0.75, 0.0]","[-1, -1]",0,-8,-12
107,param_2_low_perf,"[0.75, 0.25]","[-1, -1]",1,-3,-8
108,param_2_low_perf,"[1.0, 0.0]","[-1, -1]",0,-8,-12
109,param_2_low_perf,"[1.0, 0.25]","[-1, -1]",1,-3,-8
110,param_2_low_perf,"[0.0, 0.5]","[-1, -1]",0,-5,-12
111,param_2_low_perf,"[0.0, 0.75]","[-1, -1]",0,-5,-12
112,param_2_low_perf,"[0.0, 1.0]","[-1, -1]",0,-5,-12
113,param_2_low_perf,"[0.25, 0.5]","[-1, -1]",0,0,1
114,param_2_low_perf,"[0.25, 0.75]","[-1, -1]",0,0,1
115,param_2_low_perf,"[0.25, 1.0]","[-1, -1]",0,0,-6
116,param_2_low_perf,"[0.5, 0.5]","[-1, -1]",0,0,-5
117,param_2_low_perf,"[0.5, 0.75]","[-1, -1]",0,0,-5
118,param_2_low_perf,"[0.5, 1.0]","[-1, -1]",0,0,-12
119,param_2_low_perf,"[0.75, 0.5]","[-1, -1]",0,0,-5
120,param_2_low_perf,"[0.75, 0.75]","[-1, -1]",0,0,-5
121,param_2_low_perf,"[0.75, 1.0]","[-1, -1]",0,0,-12
