,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.2652380952380952,0.0,0.22476190476190477,0.51
2,myopic-pomdp,0.4061904761904762,0.0,0.5919047619047619,0.0,0.0019047619047619048
