,param,risk,position,intervention,agent,cumlative_risk,cumlative_risk_low,cumlative_risk_high,travel_time,request_time,request_count
51,param_13_low,"[0.0, 0.0]",[ 60 120],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
52,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, -1]",pomdp,0,0,0,15,0,0
53,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, -1]",myopic,0,0,0,37,10,2
54,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, -1]",egoistical,0,0,0,15,0,0
55,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
56,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, -1]",pomdp,0,0,0,15,0,0
57,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, -1]",myopic,0,0,0,34,10,2
58,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, -1]",egoistical,0,0,0,15,0,0
59,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
60,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, -1]",pomdp,0,0,0,15,0,0
61,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, -1]",myopic,0,0,0,35,10,2
62,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, -1]",egoistical,0,0,0,15,0,0
63,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
64,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, -1]",pomdp,0,0,0,15,0,0
65,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, -1]",myopic,0,0,0,37,10,2
66,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, -1]",egoistical,0,0,0,15,0,0
67,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
68,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, -1]",pomdp,0,0,0,15,0,0
69,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, -1]",myopic,0,0,0,39,10,2
70,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, -1]",egoistical,0,0,0,15,0,0
71,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
72,param_19_low,"[0.0, 0.0]",[100 120],"[-1, -1]",pomdp,0,0,0,15,0,0
73,param_19_low,"[0.0, 0.0]",[100 120],"[-1, -1]",myopic,0,0,0,35,10,2
74,param_19_low,"[0.0, 0.0]",[100 120],"[-1, -1]",egoistical,0,0,0,15,0,0
75,param_19_low,"[0.0, 0.0]",[100 120],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
76,param_20_low,"[0.0, 0.0]",[100 140],"[-1, -1]",pomdp,0,0,0,15,0,0
77,param_20_low,"[0.0, 0.0]",[100 140],"[-1, -1]",myopic,0,0,0,36,10,2
78,param_20_low,"[0.0, 0.0]",[100 140],"[-1, -1]",egoistical,0,0,0,15,0,0
79,param_20_low,"[0.0, 0.0]",[100 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
80,param_21_low,"[0.0, 0.0]",[120 140],"[-1, -1]",pomdp,0,0,0,15,0,0
81,param_21_low,"[0.0, 0.0]",[120 140],"[-1, -1]",myopic,0,0,0,34,10,2
82,param_21_low,"[0.0, 0.0]",[120 140],"[-1, -1]",egoistical,0,0,0,15,0,0
83,param_21_low,"[0.0, 0.0]",[120 140],"[-1, -1]",pomdp_wo_perf,0,0,0,15,0,0
84,param_1_low,"[0.0, 0.0]",[20 40],"[-1, 0]",pomdp,0,0,0,15,0,0
85,param_1_low,"[0.0, 0.0]",[20 40],"[-1, 0]",myopic,1,1,0,25,10,2
86,param_1_low,"[0.0, 0.0]",[20 40],"[-1, 0]",egoistical,0,0,0,15,0,0
87,param_1_low,"[0.0, 0.0]",[20 40],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
88,param_2_low,"[0.0, 0.0]",[20 60],"[-1, 0]",pomdp,0,0,0,15,0,0
89,param_2_low,"[0.0, 0.0]",[20 60],"[-1, 0]",myopic,1,1,0,23,10,2
90,param_2_low,"[0.0, 0.0]",[20 60],"[-1, 0]",egoistical,0,0,0,15,0,0
91,param_2_low,"[0.0, 0.0]",[20 60],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
92,param_3_low,"[0.0, 0.0]",[20 80],"[-1, 0]",pomdp,0,0,0,15,0,0
93,param_3_low,"[0.0, 0.0]",[20 80],"[-1, 0]",myopic,1,1,0,23,10,2
94,param_3_low,"[0.0, 0.0]",[20 80],"[-1, 0]",egoistical,0,0,0,15,0,0
95,param_3_low,"[0.0, 0.0]",[20 80],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
96,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, 0]",pomdp,0,0,0,15,0,0
97,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, 0]",myopic,1,1,0,23,10,2
98,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, 0]",egoistical,0,0,0,15,0,0
99,param_4_low,"[0.0, 0.0]",[ 20 100],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
100,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, 0]",pomdp,0,0,0,15,0,0
101,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, 0]",myopic,1,1,0,23,10,2
102,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, 0]",egoistical,0,0,0,15,0,0
103,param_5_low,"[0.0, 0.0]",[ 20 120],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
104,param_6_low,"[0.0, 0.0]",[40 60],"[-1, 0]",pomdp,0,0,0,15,0,0
105,param_6_low,"[0.0, 0.0]",[40 60],"[-1, 0]",myopic,1,1,0,26,10,2
106,param_6_low,"[0.0, 0.0]",[40 60],"[-1, 0]",egoistical,0,0,0,15,0,0
107,param_6_low,"[0.0, 0.0]",[40 60],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
108,param_7_low,"[0.0, 0.0]",[40 80],"[-1, 0]",pomdp,0,0,0,15,0,0
109,param_7_low,"[0.0, 0.0]",[40 80],"[-1, 0]",myopic,1,1,0,26,10,2
110,param_7_low,"[0.0, 0.0]",[40 80],"[-1, 0]",egoistical,0,0,0,15,0,0
111,param_7_low,"[0.0, 0.0]",[40 80],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
112,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, 0]",pomdp,0,0,0,15,0,0
113,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, 0]",myopic,1,1,0,26,10,2
114,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, 0]",egoistical,0,0,0,15,0,0
115,param_8_low,"[0.0, 0.0]",[ 40 100],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
116,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, 0]",pomdp,0,0,0,15,0,0
117,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, 0]",myopic,1,1,0,26,10,2
118,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, 0]",egoistical,0,0,0,15,0,0
119,param_9_low,"[0.0, 0.0]",[ 40 120],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
120,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, 0]",pomdp,0,0,0,15,0,0
121,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, 0]",myopic,1,1,0,26,10,2
122,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, 0]",egoistical,0,0,0,15,0,0
123,param_10_low,"[0.0, 0.0]",[ 40 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
124,param_11_low,"[0.0, 0.0]",[60 80],"[-1, 0]",pomdp,0,0,0,15,0,0
125,param_11_low,"[0.0, 0.0]",[60 80],"[-1, 0]",myopic,1,1,0,27,10,2
126,param_11_low,"[0.0, 0.0]",[60 80],"[-1, 0]",egoistical,0,0,0,15,0,0
127,param_11_low,"[0.0, 0.0]",[60 80],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
128,param_12_low,"[0.0, 0.0]",[ 60 100],"[-1, 0]",pomdp,0,0,0,15,0,0
129,param_12_low,"[0.0, 0.0]",[ 60 100],"[-1, 0]",myopic,1,1,0,27,10,2
130,param_12_low,"[0.0, 0.0]",[ 60 100],"[-1, 0]",egoistical,0,0,0,15,0,0
131,param_12_low,"[0.0, 0.0]",[ 60 100],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
132,param_13_low,"[0.0, 0.0]",[ 60 120],"[-1, 0]",pomdp,0,0,0,15,0,0
133,param_13_low,"[0.0, 0.0]",[ 60 120],"[-1, 0]",myopic,1,1,0,27,10,2
134,param_13_low,"[0.0, 0.0]",[ 60 120],"[-1, 0]",egoistical,0,0,0,15,0,0
