,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.17,0.0,0.3352380952380952,0.49476190476190474
2,myopic-pomdp,0.2619047619047619,0.0,0.638095238095238,0.043333333333333335,0.056666666666666664
