,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.0009523809523809524,0.0,28.740952380952383,6.840073262538411,4.297142857142857,3.3892034151132298,0,15,0.7895238095238095,0,4
1,myopic,0.4583333333333333,0.0,27.738095238095237,6.200783441140486,10.0,0.0,10,10,2.0,2,2
2,egoistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.11047619047619048,0.0,30.695238095238096,5.795011587985344,7.997619047619048,7.368701050175635,0,29,1.75,0,7
