,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.0004761904761904762,0.0,26.91,7.1760011743128835,3.019047619047619,2.0535051310197376,0,11,1.022857142857143,0,4
1,myopic,0.0,0.0,27.738095238095237,6.200783441140486,10.0,0.0,10,10,2.0,2,2
2,egoistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.0038095238095238095,0.0,27.942857142857143,6.951583148408991,4.081904761904762,3.190170137757264,0,13,0.8419047619047619,0,4
