,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.21619047619047618,0.0,0.4,0.3838095238095238
2,myopic-pomdp,0.41523809523809524,0.0,0.5657142857142857,0.018571428571428572,0.0004761904761904762
