,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.28095238095238095,0.0,0.26857142857142857,0.4504761904761905
2,myopic-pomdp,0.46904761904761905,0.0,0.530952380952381,0.0,0.0
