,agent,risk-low,risk-high,trav-mean,trav-std,req-mean,req-std,req-min,req-max,req-cnt,req-min,req-max
0,pomdp,0.08428571428571428,0.0,25.945714285714285,7.405553053029503,2.6,1.8572187682447465,0,6,0.8895238095238095,0,3
1,myopic,0.0,0.0,27.738095238095237,6.200783441140486,10.0,0.0,10,10,2.0,2,2
2,egoistical,0.2,0.0,27.822857142857142,7.268684843265061,0.0,0.0,0,0,0.0,0,0
3,pomdp_wo_perf,0.10666666666666667,0.0,26.544761904761906,7.542820191205145,3.117142857142857,2.733274126355794,0,10,0.6409523809523809,0,2
