,target-agent,improve,trav_imp,req_imp,same,degrade
0,egoistical-myopic,0.0,0.4142857142857143,0.0,0.0,0.5857142857142857
1,egoistical-pomdp,0.0,0.19047619047619047,0.0,0.43047619047619046,0.379047619047619
2,myopic-pomdp,0.4,0.0,0.5923809523809523,0.0004761904761904762,0.007142857142857143
