,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
86,param_13_2,"[0.25, 0.5]","[0, 0]",0.0,-2,-1
87,param_13_2,"[0.5, 0.5]","[0, 0]",0.0,-1,0
88,param_13_2,"[0.75, 0.5]","[0, 0]",0.0,-1,0
89,param_13_2,"[1.0, 0.5]","[0, 0]",0.0,-1,0
90,param_13_2,"[0.0, 0.75]","[0, 0]",0.0,-4,-6
91,param_13_2,"[0.25, 0.75]","[0, 0]",0.0,-2,-1
92,param_13_2,"[0.5, 0.75]","[0, 0]",0.0,-1,0
93,param_13_2,"[0.75, 0.75]","[0, 0]",0.0,-1,0
94,param_13_2,"[1.0, 0.75]","[0, 0]",0.0,-1,0
95,param_13_2,"[0.0, 1.0]","[0, 0]",0.0,-4,-6
96,param_13_2,"[0.25, 1.0]","[0, 0]",0.0,-2,-1
97,param_13_2,"[0.5, 1.0]","[0, 0]",0.0,-1,0
98,param_13_2,"[0.75, 1.0]","[0, 0]",0.0,-1,0
99,param_13_2,"[1.0, 1.0]","[0, 0]",0.0,-1,0
100,param_13_3,"[0.0, 0.0]","[-1, -1]",0.0,0,-12
101,param_13_3,"[0.25, 0.0]","[-1, -1]",0.0,4,-7
102,param_13_3,"[0.5, 0.0]","[-1, -1]",0.0,0,-7
103,param_13_3,"[0.75, 0.0]","[-1, -1]",0.0,0,-7
104,param_13_3,"[1.0, 0.0]","[-1, -1]",0.0,0,-7
105,param_13_3,"[0.0, 0.25]","[-1, -1]",0.0,4,-6
106,param_13_3,"[0.25, 0.25]","[-1, -1]",0.0,4,0
107,param_13_3,"[0.5, 0.25]","[-1, -1]",-0.5,0,0
108,param_13_3,"[0.75, 0.25]","[-1, -1]",-0.5,0,0
109,param_13_3,"[1.0, 0.25]","[-1, -1]",-0.5,0,0
110,param_13_3,"[0.0, 0.5]","[-1, -1]",0.0,0,5
111,param_13_3,"[0.25, 0.5]","[-1, -1]",0.0,3,5
112,param_13_3,"[0.5, 0.5]","[-1, -1]",0.0,0,12
113,param_13_3,"[0.75, 0.5]","[-1, -1]",0.0,0,12
