,param,scenario,agent,cumlative_risk,travel_time,request_time
81,param_2_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
82,param_2_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
83,param_2_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
84,param_2_14,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
85,param_2_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
86,param_2_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
87,param_2_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
88,param_2_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
89,param_2_15,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
90,param_4_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
91,param_4_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
92,param_4_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
93,param_4_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
94,param_4_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
95,param_4_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
96,param_4_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
97,param_4_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
98,param_4_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
99,param_4_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
100,param_4_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
101,param_4_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
102,param_4_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
103,param_4_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
104,param_4_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
105,param_4_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
106,param_4_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
107,param_4_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
108,param_4_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
109,param_4_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
110,param_4_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
111,param_4_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
112,param_4_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
113,param_4_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
114,param_4_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
115,param_4_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
116,param_4_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
117,param_4_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
118,param_4_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
119,param_4_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
120,param_4_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
121,param_4_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
122,param_4_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
123,param_4_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
124,param_4_8,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
125,param_4_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
126,param_4_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
127,param_4_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
128,param_4_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
129,param_4_9,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
130,param_4_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
131,param_4_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
132,param_4_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
133,param_4_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
134,param_4_10,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
135,param_4_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
136,param_4_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
137,param_4_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
138,param_4_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
139,param_4_11,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
140,param_4_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
141,param_4_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
142,param_4_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
143,param_4_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
144,param_4_13,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
145,param_4_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
146,param_4_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
147,param_4_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
148,param_4_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
149,param_4_14,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
150,param_4_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
151,param_4_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
152,param_4_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
153,param_4_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
154,param_4_15,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
155,param_5_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
156,param_5_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
157,param_5_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
158,param_5_1,"[0.0, 0.0][-1, -1]",myopic,0.0,27,16
159,param_5_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
160,param_5_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
161,param_5_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
162,param_5_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
163,param_5_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
164,param_5_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
165,param_5_5,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
166,param_5_5,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
167,param_5_5,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
168,param_5_5,"[0.0, 0.0][-1, -1]",myopic,0.0,26,16
169,param_5_5,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
170,param_5_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
171,param_5_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
