,param,risk,intervention,agent,cumlative_risk,travel_time,request_time
71,param_13_9,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
72,param_13_10,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
73,param_13_10,"[0.0, 0.0]","[-1, 0]",myopic,0,23,12
74,param_13_10,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
75,param_13_11,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
76,param_13_11,"[0.0, 0.0]","[-1, 0]",myopic,0,15,12
77,param_13_11,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
78,param_13_12,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
79,param_13_12,"[0.0, 0.0]","[-1, 0]",myopic,0,15,12
80,param_13_12,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
81,param_13_13,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
82,param_13_13,"[0.0, 0.0]","[-1, 0]",myopic,0,15,12
83,param_13_13,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
84,param_13_14,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
85,param_13_14,"[0.0, 0.0]","[-1, 0]",myopic,0,15,12
86,param_13_14,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
87,param_13_15,"[0.0, 0.0]","[-1, 0]",pomdp,0,15,0
88,param_13_15,"[0.0, 0.0]","[-1, 0]",myopic,0,15,12
89,param_13_15,"[0.0, 0.0]","[-1, 0]",egostistical,0,15,0
90,param_13_1,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
91,param_13_1,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
92,param_13_1,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
93,param_13_2,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
94,param_13_2,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
95,param_13_2,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
96,param_13_3,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
97,param_13_3,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
98,param_13_3,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
99,param_13_4,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
100,param_13_4,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
101,param_13_4,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
102,param_13_5,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
103,param_13_5,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
104,param_13_5,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
105,param_13_6,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
106,param_13_6,"[0.0, 0.0]","[0, -1]",myopic,0,22,12
107,param_13_6,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
108,param_13_7,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
109,param_13_7,"[0.0, 0.0]","[0, -1]",myopic,0,22,12
110,param_13_7,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
111,param_13_8,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
112,param_13_8,"[0.0, 0.0]","[0, -1]",myopic,0,22,12
113,param_13_8,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
114,param_13_9,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
115,param_13_9,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
116,param_13_9,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
117,param_13_10,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
118,param_13_10,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
119,param_13_10,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
120,param_13_11,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
121,param_13_11,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
122,param_13_11,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
123,param_13_12,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
124,param_13_12,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
125,param_13_12,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
126,param_13_13,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
127,param_13_13,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
128,param_13_13,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
129,param_13_14,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
130,param_13_14,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
131,param_13_14,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
132,param_13_15,"[0.0, 0.0]","[0, -1]",pomdp,0,15,0
133,param_13_15,"[0.0, 0.0]","[0, -1]",myopic,0,15,12
134,param_13_15,"[0.0, 0.0]","[0, -1]",egostistical,0,15,0
135,param_13_1,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
136,param_13_1,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
137,param_13_1,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
138,param_13_2,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
139,param_13_2,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
140,param_13_2,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
141,param_13_3,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
142,param_13_3,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
143,param_13_3,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
144,param_13_4,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
145,param_13_4,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
146,param_13_4,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
147,param_13_5,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
148,param_13_5,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
149,param_13_5,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
150,param_13_6,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
151,param_13_6,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
152,param_13_6,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
153,param_13_7,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
154,param_13_7,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
155,param_13_7,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
156,param_13_8,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
157,param_13_8,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
158,param_13_8,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
159,param_13_9,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
160,param_13_9,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
161,param_13_9,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
162,param_13_10,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
163,param_13_10,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
164,param_13_10,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
165,param_13_11,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
166,param_13_11,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
167,param_13_11,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
168,param_13_12,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
169,param_13_12,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
170,param_13_12,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
171,param_13_13,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
172,param_13_13,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
173,param_13_13,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
174,param_13_14,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
175,param_13_14,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
176,param_13_14,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
177,param_13_15,"[0.0, 0.0]","[0, 0]",pomdp,0,15,0
178,param_13_15,"[0.0, 0.0]","[0, 0]",myopic,0,15,12
179,param_13_15,"[0.0, 0.0]","[0, 0]",egostistical,0,15,0
180,param_13_1,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
181,param_13_1,"[0.25, 0.0]","[-1, -1]",myopic,0,34,12
182,param_13_1,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
183,param_13_2,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
184,param_13_2,"[0.25, 0.0]","[-1, -1]",myopic,0,31,12
185,param_13_2,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
186,param_13_3,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
187,param_13_3,"[0.25, 0.0]","[-1, -1]",myopic,0,15,12
188,param_13_3,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
189,param_13_4,"[0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
190,param_13_4,"[0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
191,param_13_4,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
192,param_13_5,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
193,param_13_5,"[0.25, 0.0]","[-1, -1]",myopic,0,33,12
194,param_13_5,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
195,param_13_6,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
196,param_13_6,"[0.25, 0.0]","[-1, -1]",myopic,0,33,12
197,param_13_6,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
198,param_13_7,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
199,param_13_7,"[0.25, 0.0]","[-1, -1]",myopic,0,32,12
200,param_13_7,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
201,param_13_8,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
