param,risk,intervention,agent,cumlative_risk,travel_time,request_time
param_13_5,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_5,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_5,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_6,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_6,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_6,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_7,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_7,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_7,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_8,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
param_13_8,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_8,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_9,"[0.25, 0.0]","[0, 0]",pomdp,0,15,6
param_13_9,"[0.25, 0.0]","[0, 0]",myopic,0,15,11
param_13_9,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_11,"[0.25, 0.0]","[0, 0]",pomdp,0,15,5
param_13_11,"[0.25, 0.0]","[0, 0]",myopic,0,15,12
param_13_11,"[0.25, 0.0]","[0, 0]",egostistical,0.5,15,0
param_13_1,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_1,"[0.5, 0.0]","[-1, -1]",myopic,0,29,16
param_13_1,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_2,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_2,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_2,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_3,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,5
param_13_3,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_3,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_4,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,6
param_13_4,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_4,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_5,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_5,"[0.5, 0.0]","[-1, -1]",myopic,0,28,16
param_13_5,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_6,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_6,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_6,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_7,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_7,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_7,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_8,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,5
param_13_8,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_8,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_9,"[0.5, 0.0]","[-1, -1]",pomdp,0,25,11
param_13_9,"[0.5, 0.0]","[-1, -1]",myopic,0,29,12
param_13_9,"[0.5, 0.0]","[-1, -1]",egostistical,0,25,0
param_13_11,"[0.5, 0.0]","[-1, -1]",pomdp,0,26,5
param_13_11,"[0.5, 0.0]","[-1, -1]",myopic,0,26,12
param_13_11,"[0.5, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_1,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,12
param_13_1,"[0.5, 0.0]","[-1, 0]",myopic,0,26,16
param_13_1,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_2,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,12
param_13_2,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_2,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_3,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,5
param_13_3,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_3,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_4,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,6
param_13_4,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_4,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_5,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,12
param_13_5,"[0.5, 0.0]","[-1, 0]",myopic,0,26,16
param_13_5,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_6,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,12
param_13_6,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_6,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_7,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,12
param_13_7,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_7,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_8,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,5
param_13_8,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_8,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_9,"[0.5, 0.0]","[-1, 0]",pomdp,0,25,11
param_13_9,"[0.5, 0.0]","[-1, 0]",myopic,0,25,12
param_13_9,"[0.5, 0.0]","[-1, 0]",egostistical,0,25,0
param_13_11,"[0.5, 0.0]","[-1, 0]",pomdp,0,26,5
param_13_11,"[0.5, 0.0]","[-1, 0]",myopic,0,26,12
param_13_11,"[0.5, 0.0]","[-1, 0]",egostistical,0,26,0
param_13_1,"[0.5, 0.0]","[0, -1]",pomdp,0,15,6
param_13_1,"[0.5, 0.0]","[0, -1]",myopic,0,16,12
param_13_1,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_2,"[0.5, 0.0]","[0, -1]",pomdp,0,17,6
param_13_2,"[0.5, 0.0]","[0, -1]",myopic,0,17,12
param_13_2,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_3,"[0.5, 0.0]","[0, -1]",pomdp,0,17,5
param_13_3,"[0.5, 0.0]","[0, -1]",myopic,0,19,12
param_13_3,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_4,"[0.5, 0.0]","[0, -1]",pomdp,0,21,6
param_13_4,"[0.5, 0.0]","[0, -1]",myopic,0,23,12
param_13_4,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_5,"[0.5, 0.0]","[0, -1]",pomdp,0,15,6
param_13_5,"[0.5, 0.0]","[0, -1]",myopic,0,16,12
param_13_5,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_6,"[0.5, 0.0]","[0, -1]",pomdp,0,15,6
param_13_6,"[0.5, 0.0]","[0, -1]",myopic,0,16,12
param_13_6,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_7,"[0.5, 0.0]","[0, -1]",pomdp,0,17,6
param_13_7,"[0.5, 0.0]","[0, -1]",myopic,0,22,12
param_13_7,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_8,"[0.5, 0.0]","[0, -1]",pomdp,0,17,5
param_13_8,"[0.5, 0.0]","[0, -1]",myopic,0,24,12
param_13_8,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_9,"[0.5, 0.0]","[0, -1]",pomdp,0,15,6
param_13_9,"[0.5, 0.0]","[0, -1]",myopic,0,16,12
param_13_9,"[0.5, 0.0]","[0, -1]",egostistical,0,25,0
param_13_11,"[0.5, 0.0]","[0, -1]",pomdp,0,17,5
param_13_11,"[0.5, 0.0]","[0, -1]",myopic,0,19,12
param_13_11,"[0.5, 0.0]","[0, -1]",egostistical,0,26,0
param_13_1,"[0.5, 0.0]","[0, 0]",pomdp,0,15,6
param_13_1,"[0.5, 0.0]","[0, 0]",myopic,0,16,12
param_13_1,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_2,"[0.5, 0.0]","[0, 0]",pomdp,0,17,6
param_13_2,"[0.5, 0.0]","[0, 0]",myopic,0,17,12
param_13_2,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_3,"[0.5, 0.0]","[0, 0]",pomdp,0,17,5
param_13_3,"[0.5, 0.0]","[0, 0]",myopic,0,19,12
param_13_3,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_4,"[0.5, 0.0]","[0, 0]",pomdp,0,21,6
param_13_4,"[0.5, 0.0]","[0, 0]",myopic,0,21,12
param_13_4,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_5,"[0.5, 0.0]","[0, 0]",pomdp,0,15,6
param_13_5,"[0.5, 0.0]","[0, 0]",myopic,0,16,12
param_13_5,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_6,"[0.5, 0.0]","[0, 0]",pomdp,0,15,6
param_13_6,"[0.5, 0.0]","[0, 0]",myopic,0,16,12
param_13_6,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_7,"[0.5, 0.0]","[0, 0]",pomdp,0,17,6
param_13_7,"[0.5, 0.0]","[0, 0]",myopic,0,17,12
param_13_7,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_8,"[0.5, 0.0]","[0, 0]",pomdp,0,17,5
param_13_8,"[0.5, 0.0]","[0, 0]",myopic,0,19,12
param_13_8,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_9,"[0.5, 0.0]","[0, 0]",pomdp,0,15,6
param_13_9,"[0.5, 0.0]","[0, 0]",myopic,0,16,12
param_13_9,"[0.5, 0.0]","[0, 0]",egostistical,0,25,0
param_13_11,"[0.5, 0.0]","[0, 0]",pomdp,0,17,5
param_13_11,"[0.5, 0.0]","[0, 0]",myopic,0,19,12
param_13_11,"[0.5, 0.0]","[0, 0]",egostistical,0,26,0
param_13_1,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_1,"[0.75, 0.0]","[-1, -1]",myopic,0,29,16
param_13_1,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_2,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_2,"[0.75, 0.0]","[-1, -1]",myopic,0,26,12
param_13_2,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_3,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,5
param_13_3,"[0.75, 0.0]","[-1, -1]",myopic,0,26,12
param_13_3,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_4,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,6
param_13_4,"[0.75, 0.0]","[-1, -1]",myopic,0,26,12
param_13_4,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_5,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_5,"[0.75, 0.0]","[-1, -1]",myopic,0,28,16
param_13_5,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_6,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_6,"[0.75, 0.0]","[-1, -1]",myopic,0,26,12
param_13_6,"[0.75, 0.0]","[-1, -1]",egostistical,0,26,0
param_13_7,"[0.75, 0.0]","[-1, -1]",pomdp,0,26,12
param_13_7,"[0.75, 0.0]","[-1, -1]",myopic,0,26,12
