,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
66,param_2_12,"risk:[0.5, 0.0]","int:[-1, -1]",0.0,0,-7
67,param_2_13,"risk:[0.5, 0.0]","int:[-1, -1]",0.0,-3,-3
68,param_2_14,"risk:[0.5, 0.0]","int:[-1, -1]",0.0,0,-7
69,param_2_15,"risk:[0.5, 0.0]","int:[-1, -1]",0.0,-3,-7
70,param_2_1,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
71,param_2_2,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
72,param_2_3,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-2,-7
73,param_2_4,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
74,param_2_6,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
75,param_2_7,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
76,param_2_8,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-2,-7
77,param_2_9,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
78,param_2_10,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
79,param_2_11,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-2,-7
80,param_2_12,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
81,param_2_13,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-2,-7
82,param_2_14,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
83,param_2_15,"risk:[0.5, 0.0]","int:[0, 0]",0.0,-1,-7
84,param_2_1,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,-3,-6
85,param_2_2,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
86,param_2_3,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
87,param_2_4,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-7
88,param_2_6,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
89,param_2_7,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
90,param_2_8,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
91,param_2_9,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,-4,3
92,param_2_10,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,-3,-5
93,param_2_11,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-2
94,param_2_12,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-7
95,param_2_13,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,-3,-3
96,param_2_14,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,0,-7
97,param_2_15,"risk:[0.75, 0.0]","int:[-1, -1]",0.0,-3,-7
98,param_2_1,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
99,param_2_2,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
100,param_2_3,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-2,-7
101,param_2_4,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
102,param_2_6,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
103,param_2_7,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
104,param_2_8,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-2,-7
105,param_2_9,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
106,param_2_10,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
107,param_2_11,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-2,-7
108,param_2_12,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
109,param_2_13,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-2,-7
110,param_2_14,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
111,param_2_15,"risk:[0.75, 0.0]","int:[0, 0]",0.0,-1,-7
112,param_2_1,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,-3,-6
